vendor,legal_name,entities,category,federal_tax_classification,tax_address_on_file,contacts,active,spend_all_time,spend_365d,ramp_vendor_uuids
DHP Online Licensing,,TN,Government Services,,,0,yes,470.00,470.00,f0fcd0aa-fe10-4f16-a063-4e3cca4d79a8
Scribe,,TN,SaaS / Software,,,0,yes,457.72,457.72,8206c98c-b21c-4d5c-bba4-b54a98bbd7d9
Industrial Scale Systems Inc.,"Industrial Scales & Systems, Inc.",TN,General Merchandise,S_CORPORATION,YES,1,yes,450.00,450.00,7f3320aa-d261-4427-bb19-01a445ebfa51
Khaophums II,,TN,Restaurants,,,0,yes,448.34,448.34,516f0378-b50b-4e42-a9cc-3a2dbde0ec88
KD's Kitchen,,TN,Restaurants,,,0,yes,440.30,440.30,21041629-fe3b-475f-bf24-f072624a5932
Frontier Communications,,FL,Internet and Phone,,,0,yes,429.13,429.13,fd01cd2c-ca22-4992-81ac-c2cebebfa087
La Segunda Kennedy,,FL,Restaurants,,,0,yes,425.11,425.11,5c4bf899-b662-470e-8361-4d5671846092
Teriyaki Madness,,TN,Restaurants,,,0,yes,425.00,425.00,a095944f-4479-49bf-8e00-fff1f55f19d3
Yampa Sandwich Co.,,TN,Restaurants,,,0,yes,422.93,422.93,28940baa-3e6c-499b-b518-2711d605b2a4
Ar Workshop Olivette,,FL,General Merchandise,,,0,yes,420.00,420.00,37265865-8dd4-4970-badf-a83567d6c1c2
Hungry Habibi,,TN,Restaurants,,,0,yes,406.61,406.61,c70e4f7e-43d8-4478-9698-b9af851b6b9e
Flaming Kabob,,TN,Restaurants,,,0,yes,402.04,402.04,be78fd91-fb0f-4492-9628-08b12d577431
The City Club,,TN,Alcohol and Bars,,,0,yes,400.58,400.58,de744c52-5eb4-424e-9e25-208a979ac02f
Kapow Noodle Bar,,FL,Restaurants,,,0,yes,400.00,400.00,cfc1ebb4-1c79-4581-a98e-b6f855a9872d
Chiloso Mexican Bistro,,FL,Restaurants,,,0,yes,396.99,396.99,2fe7cd1b-2fe6-4aeb-97c7-00759376b03d
Coffee Concrete,,FL,Restaurants,,,0,yes,396.79,396.79,06fe2595-1255-4b5b-b4a8-069c2f706656
Office Depot,,FL|TN|TX,Office supplies and cleaning,,,0,yes,394.12,394.12,3ee12ed7-a0f8-4f1d-a080-41c5a97be278|742e9689-32c2-4800-be93-438ff19fc34d|c94c727d-4031-4dff-af0c-7b054d367e4e
Marathon,,FL|TN,Fuel and Gas,,,0,yes,390.57,390.57,3fa15910-794b-4c0e-9350-fa6f22f76776|f1df9b2a-5666-42a3-9380-541b19c06886
Bravo Supermarkets,,FL|TN,Supermarkets and Grocery Stores,,,0,yes,390.56,390.56,cbc27dbb-8802-47f8-8869-4022db26518b|b027c096-1532-4618-8a3a-8f21fa5fface
Chopt Creative Salad Co.,,TN,Restaurants,,,0,yes,390.43,390.43,4abed907-b455-4637-8e8d-c0cd639369b3
Medisca,,TX,General Merchandise,,,1,yes,390.00,390.00,8f181a32-2c3c-4192-8dfe-52f950f8e025
Pittsburgh,,TN,Supermarkets and Grocery Stores,,,0,yes,383.58,383.58,00d7c685-95d6-454f-a275-b720d51c6400
The Sourdough Co.,,FL,Restaurants,,,0,yes,381.32,381.32,329a1a5a-c4ff-40a3-aa98-a0696de52f0d
Pure Taqueria,,TN,Restaurants,,,0,yes,381.11,381.11,da1006eb-9bdd-40a9-b2c4-7524e50ae1af
Joshua Paul Design,,FL,SaaS / Software,,,0,yes,375.00,375.00,d1234e2d-f334-4e1c-be76-b702e8220fe6
Einsteinbros_Mobile Restaurant,,TX,Restaurants,,,0,yes,373.68,373.68,21a94ac4-2087-44a3-a824-820e40d7639c
Sixt,,TX,Car Rental,,,0,yes,373.35,373.35,7166e4c0-6453-4ca1-a165-0d7364c2f313
Algair,,FL,Travel Misc,,,0,yes,372.00,372.00,33473a79-d542-469f-b98b-302d10fe6aa4
Brown Bag Seafood,,TN,Restaurants,,,0,yes,371.43,371.43,7a89374c-54cf-4640-97ec-e6cd646b94c9
LongHorn Steakhouse,,FL|TN,Restaurants,,,0,yes,369.47,369.47,33370672-6309-4341-9ea1-fdbdfeb985fc|6edab527-894d-46bf-9d56-f981e8f64440
"Raton, NM",,TN,Restaurants,,,0,yes,367.22,367.22,97a027bf-898d-4742-9510-613797863ee2
Delicass,,FL,Supermarkets and Grocery Stores,,,0,yes,365.33,365.33,9b0afc42-a056-458d-a228-9a47d31caf9e
MAPCO,,FL|TN,Fuel and Gas,,,0,yes,356.76,356.76,4850e4fe-b17d-40af-ad3a-b81a0e02a44b|e6df52e8-3c8c-4787-becf-6b07c7b4fedd
CK Diggs,,TN,Restaurants,,,0,yes,356.62,356.62,bb556666-6104-43f5-9a6d-055498857db2
Grubhub,,TN|TX,Restaurants,,,0,yes,354.95,354.95,e0ba28f0-75a7-4ca1-9d18-8ae20aca2e4a|ae26621d-1b0a-46de-bd23-0d0d9bc151a5
Sunoco,,FL|TN|TX,Fuel and Gas,,,0,yes,353.46,353.46,edcd1750-cae8-4369-b35b-5c040b3cff1c|a0c607bb-f663-44ba-a176-1cc23a45643c|d6d87a23-0834-4f37-b30a-e0d72c8e9ac4
Pistachios Casual Cuisine,,FL,Restaurants,,,0,yes,353.10,353.10,7dc2432a-ce7d-4773-9302-84e9c9ed4a80
Green Corner Restaurant,,TN,Restaurants,,,0,yes,353.05,353.05,185a7f86-6248-4d0b-907e-20c76d45dbe6
Picasso Cafe,,TN,Restaurants,,,0,yes,351.77,351.77,402f0aa5-5f0e-45af-b423-76ec2380f300
Digital Pharmacist,,FL,Advertising,,,0,yes,350.75,350.75,a50c8665-752d-4223-98bd-3d18240dc024
Pizza Inn,,TN,Restaurants,,,0,yes,350.11,350.11,4d0ecc58-b7bf-48eb-9925-a4c82a504fe8
Mango Bistro,,FL,Restaurants,,,0,yes,349.12,349.12,3895b77e-40a6-473d-8151-5dbf5a7c1759
Crave Cupcakes,,FL,Restaurants,,,0,yes,348.14,348.14,1344e95f-223b-4d47-80e2-c3e0242f1d2c
Costco,,FL|TN,General Merchandise,,,0,yes,344.13,344.13,9868361b-12e8-4d53-9695-1a14ae38d08b|7fa0f0b0-3fd0-48a0-83ae-97caa4f42989
Las Trancas Mexican Restaurant,,TN,Restaurants,,,0,yes,343.09,343.09,a70e7205-3264-4ebc-8acb-3658086c1052
Hawaii,,TN,Government Services,,,0,yes,342.00,342.00,6b2c68ea-2523-46fb-9827-b1cdfb0330fb
Wyoming State Board Of Pharmacy,,TN,Government Services,,,0,yes,340.00,340.00,a4fbca57-7442-4ba4-bf14-d9106b547024
Illinois Tollway,,TN,Travel Misc,,,0,yes,340.00,340.00,18e409e6-db2a-4839-ae40-f8d3a4d6272d
Citgo,,FL|TN,Fuel and Gas,,,0,yes,339.21,339.21,d0a899a2-1269-4352-be3d-6913aa0e730e|fabc89c0-29c5-4e3b-8a6e-075ea2d46901
Pappas Restaurant and Sports Bar,,TN,Restaurants,,,0,yes,338.06,338.06,080362ab-eca8-4dc5-9c59-b5645fa1fb2a
Tennessee Board of Pharmacy,,TN,Government Services,,,0,yes,335.00,335.00,1ec74ab0-5cea-4250-bbaa-81ca0696930e
Torchy's Tacos,,TX,Restaurants,,,0,yes,330.27,330.27,4fd5f751-194e-4d26-98f3-1fda0dfc4a8d
TownePlace Suites by Marriott,,TN,Lodging,,,0,yes,329.85,329.85,9e322490-0ce0-4f52-ab3a-041242959122
"Brunswick, GA",,TX,Supermarkets and Grocery Stores,,,0,yes,329.29,329.29,dfb04e05-c0fb-4f88-a8dc-0a84136d3a45
Lenny's Sub Shop,,TN,Restaurants,,,0,yes,328.45,328.45,1ee602f0-5d8a-4afa-9e3b-afbf9646e428
Applebee's Grill + Bar,,TN,Restaurants,,,0,yes,327.43,327.43,421984d7-202b-4675-9c92-c12420e3ec03
McMaster-Carr,,TN,General Merchandise,,,0,yes,325.81,325.81,79778fb7-56a2-4a52-aa4f-e3db068a0aa5
North Italia,,TN,Restaurants,,,0,yes,322.43,322.43,f343659e-47af-473f-8aa1-696ad2269d8f
Mellow Mushroom,,TN,Restaurants,,,0,yes,321.67,321.67,1571785b-05d6-491a-abd0-19693e874144
Susan Martindale,,FL,Professional Services,,,1,yes,320.00,320.00,2cd88072-5aed-4e73-91ab-99e328a348f7
Thee Catering Company,,TN,Restaurants,,,0,yes,317.34,317.34,a828a1cf-d04d-4bb4-a0fd-28146854c35e
Oshio,,TN,Restaurants,,,0,yes,317.25,317.25,937d6597-47f5-4c50-81e6-1bcec74063ce
Mt Gov Online Trnsctns,,TN,Government Services,,,0,yes,315.00,315.00,e49f1cb1-3621-4ccc-b917-64e51db9862d
JL Patisserie,,TN,Supermarkets and Grocery Stores,,,0,yes,312.68,312.68,783f9289-c9bc-4f89-b285-38e0dc3b8cdb
Park Avenue Smoothie,,FL,Restaurants,,,0,yes,308.93,308.93,6373d7f9-8245-4b1a-8a52-1db75d42cb9f
Texaco,,FL|TN|TX,Fuel and Gas,,,0,yes,307.45,307.45,c3f9812c-56a3-468b-b1e6-03bba3b09f21|8f0e5504-3a63-4b3a-b0c7-40bee1b0596a|892745c4-d0d7-43cc-81be-f9d94980f088
House Kabob & Gyro,,TN,Restaurants,,,0,yes,304.13,304.13,639f585d-030c-4b00-aee0-def4934e6706
Sara Glove,,FL,General Merchandise,,,1,yes,304.00,304.00,38e41e05-f74d-471b-a098-c69a60f503ce
SIGIS,,FL|TN|TX,Charitable donations,,,0,yes,300.00,300.00,b79784e2-906d-4027-995a-f44edb38fce9|2f6c07f3-471f-4eff-8891-81494899d80e|ac8b6ac4-b360-41d7-9aba-32d86b39530d
Discount Tire,,TN,Car services,,,0,yes,299.78,299.78,59e592be-cb72-4a8e-88c9-e6662303c932
Canva,,FL,SaaS / Software,,,0,yes,298.48,298.48,6ca3955d-fc25-4e4d-9c2e-d488a2fbd7e4
Bloomfield Deli + Catering,,TN,Restaurants,,,0,yes,298.19,298.19,852bb321-2904-454e-8954-3cf01546ad6c
Stress Free Car Rental,,FL,Car Rental,,,0,yes,297.44,297.44,0ab6fe98-99ba-447c-b765-29f9360d8dcf
green fetish,,TN,Restaurants,,,0,yes,295.09,295.09,07e32b67-5e3b-421c-b755-458de6fadd26
Vistaprint,,TN,Office,,,0,yes,292.76,292.76,83753017-34cd-4b4b-848b-ea983a1f7638
Webstaurant,,TN,General Merchandise,,,1,yes,291.53,291.53,ceebd981-d292-4e20-b3a4-34f644d6f674
Scales Plus,,TX,General Merchandise,,,0,yes,290.46,290.46,6402a0c4-7c34-4df7-ba27-1494e00a8f79
Mango's Dockside Bistro,,FL,Restaurants,,,0,yes,289.09,289.09,eccada15-18c3-4041-93a8-d3738ad13208
Roosters,,TN,Restaurants,,,0,yes,286.68,286.68,dedef6f4-e942-4e1e-a0b1-2f0a6df9d702
Texas State Board of Pharmacy,,FL|TN,Government Services,,,0,yes,286.00,286.00,ff4243c3-b662-4525-8de5-bcfd1168ca5b|8601db48-ea97-4c35-911a-874ff94457f2
Supreme Restaurant Equipment,,TN,General Merchandise,,,0,yes,285.93,285.93,1c792d9a-3f6f-4fc0-afdc-271ba1f1dda8
Michael Kurland,Michael Kurland,FL,Other,S_CORPORATION,YES,1,yes,285.00,285.00,f4f6a53b-4582-418c-94c7-a98a303e93b5
MedPro Disposal,,TX,Medical,,,1,yes,279.00,279.00,bdd15c43-5fe6-41f9-afcd-bf8935a7b632
Hostinger,,TN,SaaS / Software,,,0,yes,278.68,278.68,cf5bf826-99fe-4f66-87a2-3833a64ec1eb
Goodfellas Pizza The Co Restaurant,,TN,Restaurants,,,0,yes,276.92,276.92,a68b48a3-c82c-4706-b5cb-62f44e80af26
Zaya,,TN,Restaurants,,,0,yes,271.19,271.19,d2803375-640e-4f60-844b-0bff0b9760d8
Cypress Creek Grill,,TN,Restaurants,,,0,yes,269.31,269.31,d0f45ab6-c807-4629-9270-af0da411ffde
US Plastic Corp,,TX,Charitable donations,,,1,yes,268.67,268.67,27d78e23-a834-40d4-8ac4-f3abdb2da73c
eFax,,FL,Office,,,0,yes,265.00,265.00,3b33f2db-3206-44a0-ac05-271e3ac4a14b
Stacheys Olde Time Pizzer Restaurant,,TN,Restaurants,,,0,yes,263.84,263.84,46846456-a176-4fcf-9b77-db871d7c0a13
Larco Bros,,TN,Restaurants,,,0,yes,263.63,263.63,de66f78b-e148-4b6e-9002-fb72ab382fe2
Graze Craze,,TN,Restaurants,,,0,yes,263.60,263.60,9cb20d90-a613-4121-bdb0-8b844b57e406
Creality 3D,,TN,Electronics,,,0,yes,263.55,263.55,f5eeb10c-f49d-4f5c-87a0-d29c3a4304fb
BJ's Restaurant & Brewhouse,,FL,Restaurants,,,0,yes,262.19,262.19,65d23de9-acc6-47c7-a5c6-ede9e3fe6f07
Github,,TN,SaaS / Software,,,0,yes,261.16,261.16,8bd759a7-04c5-484d-ae63-6da4426961c6
Spice Asian Kitchen,,TN,Restaurants,,,0,yes,260.70,260.70,5db1de8c-21b7-4514-98bc-09c0ef71085e
Leo's Italian Grill,,TX,Restaurants,,,0,yes,260.67,260.67,37c797e5-030d-4cad-ac77-18c5f3b46681
Cafe Karibo,,FL,Restaurants,,,0,yes,260.52,260.52,69462d08-c748-4069-9d52-fa4c0e095141
SunPass,,FL,Travel Misc,,,0,yes,257.25,257.25,a741f285-15f3-4090-9e1e-89b827e34b77
Amoco,,FL|TN,Fuel and Gas,,,0,yes,256.31,256.31,2bddfcbc-33c7-4a89-8cbe-de481b8e8277|163bc4bd-7c30-4963-82ae-2cf775959d03
Penn Station 212 Restaurant,,TN,Restaurants,,,0,yes,255.44,255.44,48d41db7-1229-4f15-98ec-2e15330d18b9
Terry Black's Barbecue,,TX,Restaurants,,,0,yes,254.88,254.88,a6080347-92c0-40ac-85bf-1ce7d6991872
Chicken Salad Chick,,FL|TN|TX,Restaurants,,,0,yes,250.27,250.27,3f6d2300-629b-4635-83a6-7bb36351a652|11b4757a-2b2a-49e1-afa0-5b64cafa1e3e|f046ba57-eee0-46c3-807a-ec0dac5694c5
Seven Sundays Coffee,,TN,Restaurants,,,0,yes,244.05,244.05,5035c53c-61a4-44d3-90a3-fb3b7253ff59
The Loop,,FL,Fuel and Gas,,,0,yes,242.58,242.58,a440b8c9-0a4c-4f4c-a07a-5f3cfca7b3c9
Conoco,,TN,Fuel and Gas,,,0,yes,242.31,242.31,16974761-1e3b-48d4-a89f-3aef3fd10d06
Giant Eagle,,TN,Supermarkets and Grocery Stores,,,0,yes,242.28,242.28,e06c963f-c473-437f-aec7-2d572dc85b12
Tiff'S Treats,,FL,Supermarkets and Grocery Stores,,,0,yes,242.00,242.00,15147e27-8045-43c8-bc42-7ce25cbf7bbe
Lion House Cafe,,TN,Restaurants,,,0,yes,240.63,240.63,05d59b7d-8b52-4051-af97-9c4575f2da6f
RaceWay,,FL|TN,Fuel and Gas,,,0,yes,237.86,237.86,53087785-eb51-4639-bf3c-e14482e39719|36a27ed9-75ec-4666-8795-bc215878fbfa
Condado Tacos,,TN,Restaurants,,,0,yes,234.60,234.60,2bc08923-8b6c-470f-87aa-ca9a35152b0f
Victorian Inn,,FL,Lodging,,,0,yes,232.93,232.93,369f8975-8423-4cbd-ae3d-21430611b16e
Modern Market Eatery,,FL,Restaurants,,,0,yes,231.49,231.49,924e4086-5cbd-46b2-8bdc-87d47c8910df
Get Go Cafe & Market,,TN,Fuel and Gas,,,0,yes,229.65,229.65,7ada047c-3b92-494a-acc2-23f990391330
Carriage House Inn,,TN,Lodging,,,0,yes,229.57,229.57,6053f197-cd55-4cdd-ab40-8df2da7ed0bb
LAZ Parking,,FL|TN,Parking,,,0,yes,227.01,227.01,4c6315fd-bb33-43d5-812d-6977c33ded97|dba8419d-86e8-4749-b234-c5fe5ef61d2b
La Panaderia,,TX,Restaurants,,,0,yes,226.90,226.90,090dd5b4-fa9e-4d8a-a515-3b7cfec6061d
Casey's,,TN,Fuel and Gas,,,0,yes,226.76,226.76,6b2eb411-0453-4314-88d2-3604081a5a26
Lucky Lab Coffee,,TX,Restaurants,,,0,yes,226.63,226.63,cb0d6bf5-e462-4f2f-a7ed-b479690e5c1f
Green Papaya Thai & Sushi,,FL,Restaurants,,,0,yes,224.04,224.04,347dc343-4145-4aa5-a2fe-db803d2253e7
Chili's Grill & Bar,,TX,Restaurants,,,0,yes,222.37,222.37,ed9fb253-87e4-447a-9978-6a963d15a8e4
Chapel Hill,,TN,Restaurants,,,0,yes,222.01,222.01,2af8ddda-ded7-45c3-8266-b849a683df18
AutoExpreso,,FL,Travel Misc,,,0,yes,220.00,220.00,1bafe8d5-0a21-422d-b238-f8fc10d83acf
ZAZA Italian Gastrobar,,TN,Restaurants,,,0,yes,218.60,218.60,47d8bbe6-1ddc-4aa7-8845-5c8e3ea9e197
P.F. Chang's,,FL|TN,Restaurants,,,0,yes,217.64,217.64,59e6943e-05b4-46cc-ba8e-8885a3ef4992|c4ed6d3c-3315-4262-8969-4c4edbac533c
Smoothie King,,FL|TN|TX,Restaurants,,,0,yes,217.51,217.51,1ed4bfff-8bdb-4594-a48f-e5d29d96bce2|d5e6cf9c-6eca-490a-b974-c5eb82910881|19b2defd-498e-4da7-b5d0-d01157927057
Delta Hotels By Marriott,,FL,Lodging,,,0,yes,216.44,216.44,b838fe29-5e6e-4948-9d7e-1414269ac3c6
ARCO,,TN,Fuel and Gas,,,0,yes,215.66,215.66,cc9bec6e-2313-4a36-9a25-695a9e0af562
Hopdoddy Burger Bar,,FL|TN|TX,Restaurants,,,0,yes,214.50,214.50,ed234255-edb7-42ef-877e-98d880f40b36|1a5cf790-64ef-410c-a48d-2e28c64177a3|28a6c101-8aed-40ea-93fb-8356bfae6b19
Drugzone Pharmaceutical,,TN,,,,1,yes,212.53,212.53,e42166e5-c5af-4e1b-a124-12872b33ea14
Taco Cabana,,TX,Restaurants,,,0,yes,212.13,212.13,ef3991de-2626-4bb9-a0e8-6ba3d3bb96a8
Salata,,TN|TX,Restaurants,,,0,yes,210.76,210.76,4b463632-3fa6-4af4-8ccb-082c3a7c8696|3380b74b-2418-475a-9bb2-3923975d39b0
DeRita Italian Deli,,FL,Restaurants,,,0,yes,210.75,210.75,e19b9c19-30b7-4299-a7fa-f7115e946c57
Days Hotel by Wyndham East Brunswick Conference Center,,FL,Lodging,,,0,yes,210.74,210.74,29637ae6-a6e3-4e7e-9bd9-f9391ff5a5e6
The Perry Hotel,,FL,Lodging,,,0,yes,210.00,210.00,9b3cb1fe-05f3-4e51-8163-296ec07e554c
Toastique,,TN|TX,Restaurants,,,0,yes,208.95,208.95,65e3342f-5202-46b7-8d1c-09112e42252e|e77c0c43-d16e-4a31-87d2-4a3d433d2818
Speedy Stop,,TX,Fuel and Gas,,,0,yes,208.63,208.63,988fb522-bb7a-40a9-88ea-832e0f3ecf3a
THE LOOP RESTAURANT,,FL,Restaurants,,,0,yes,208.48,208.48,6f7a121a-5db7-44a2-87d8-5c7177a08e5f
Tolls,,TN,Travel Misc,,,0,yes,205.20,205.20,c2d77abb-3b64-4c21-a3a4-9392cd2aba8d
Vermont Secretary of State,,TN,Government Services,,,0,yes,205.00,205.00,18cba9c9-970f-49f8-b50a-6407eed66d56
Postino South Tempe,,TN,Restaurants,,,0,yes,204.97,204.97,00de9845-b962-442e-b39e-1ce488bc88cc
Hudson's Place,,TN,Restaurants,,,0,yes,203.58,203.58,6791a4e9-e74f-4955-a57e-de6520510c45
Homewood Suites By Hilton,,TN,Lodging,,,0,yes,203.05,203.05,0f8d84bb-0dd6-4d95-b8dc-69608378bd37
J. Liu Restaurant & Bar,,TN,Restaurants,,,0,yes,203.00,203.00,e6c20320-1079-4b7c-8903-3db759ab0e3e
The Henry,,TN,Restaurants,,,0,yes,201.83,201.83,45e53ae5-bbd4-4d68-bde9-263d9d804912
Lou Malnati's Pizzeria,,TN,Restaurants,,,0,yes,201.76,201.76,bf3f3c66-6510-4a4b-86ee-501bf3a5bc72
Insomnia Cookies,,TN,Restaurants,,,0,yes,201.64,201.64,62e7cd8f-d84f-44f7-b82c-c862dd68bf26
Connie King Media,,FL,Entertainment,,,0,yes,200.00,200.00,a0dc7aba-7ef8-41a0-862c-68ac042bffec
American Amusement,,TN,Entertainment,,,0,yes,200.00,200.00,ea451822-dabf-422e-ad8b-73e888c9dd04
Grimes Fast Food,,TN,Restaurants,,,0,yes,200.00,200.00,fdc4a22d-c4f8-4a32-9860-a113003f8fce
Maine.gov,,TN,Government Services,,,0,yes,200.00,200.00,3287b8f5-035a-47a4-8275-fff615244a01
North Carolina Board of Pharmacy,,TN,Clubs and memberships,,,0,yes,200.00,200.00,203e6560-b226-42eb-8ffc-18189b1b9461
STAR2BILLING,,FL,SaaS / Software,,,1,yes,199.00,199.00,327f16d0-8adc-4ce2-a3c7-43f97cd0d71b
Cherry Street Pub,,TN,Restaurants,,,0,yes,196.60,196.60,f834a6c8-2b49-4992-adf1-586362752253
Summer Moon Coffee,,FL|TX,Restaurants,,,0,yes,195.49,195.49,8f43c8af-4007-40f4-b27b-e0d7a11ca748|d728fe70-a270-4027-9abb-c748bf593837
Panda Express,,FL|TN|TX,Restaurants,,,0,yes,192.22,192.22,0496d962-6baa-4117-92ad-1b7a9e671221|caac6a04-3dde-40e8-b447-00050482d694|ca6041d7-b619-4e11-9293-f4574999e3d4
Drugzone,,TX,Supermarkets and Grocery Stores,,,0,yes,190.75,190.75,a41b1a4b-298d-44c9-8d67-099e3a8b2de2
Playa Bowls,,TN|TX,Restaurants,,,0,yes,190.28,190.28,f903fa5c-1335-48d8-8d33-9da82f1cb080|a72ced2e-089e-450c-8c91-1d02d825455c
007 Transportation,,TN,Taxi and Rideshare,,,0,yes,188.00,188.00,17c0c20d-78bc-44b6-90e6-370861f60b9b
Marco's Pizza,,FL,Restaurants,,,0,yes,187.68,187.68,97ae8aa3-41b6-4ea7-9c32-8fe4f2e508e7
Fla Juice & Bowl,,FL,Restaurants,,,0,yes,187.28,187.28,e63974c8-c5f0-416c-8cad-5c198f0f1f4e
King Soopers,,TN,Supermarkets and Grocery Stores,,,0,yes,187.12,187.12,2707de7b-944e-4011-ae23-182a501cadbf
CVS Pharmacy,,FL|TN,Supermarkets and Grocery Stores,,,0,yes,185.75,185.75,ef944283-8c89-47a4-9421-0a4010e3ab43|e24cc66a-ce07-4c93-ae20-660d6f82e973
The Salty Donut,,FL,Restaurants,,,0,yes,185.65,185.65,736d851d-5a14-4ab7-a99a-e492b9d08b97
White House Tavern,,TN,Restaurants,,,0,yes,184.84,184.84,888bf3bf-4d0d-4a54-bf91-76058b558e79
Busy Bee,,FL|TN,Fuel and Gas,,,0,yes,183.08,183.08,1ae51c5d-befd-42d0-bce8-eef3c8ecff80|e842e7d0-0613-4bbe-891b-4a5f5cefff41
Milk & Cookies,,FL,Restaurants,,,0,yes,180.92,180.92,3b811b41-ab1c-4624-a1b7-1b0d94ce91a0
Beach Pea Baking Co,,TN,Supermarkets and Grocery Stores,,,0,yes,180.71,180.71,a3c5bcf1-4488-460d-b7cf-21a90451dc7d
La La Land Kind Cafe,,FL|TX,Restaurants,,,0,yes,179.49,179.49,adb3ff5a-1fb9-4f45-9856-f50af4659494|0807e122-dbbd-4b48-8ae1-b71a3987b14f
La Dolce Vita Bakery,,TN,Restaurants,,,0,yes,178.72,178.72,c83dc5b8-995b-4850-8935-e8607f0ff8a5
Crafty Crab,,TN,Restaurants,,,0,yes,178.21,178.21,ac500c59-549d-4a63-8234-f40c6d8da8c1
Pokebowl Ramen,,TN,Restaurants,,,0,yes,177.92,177.92,2dfb4321-734c-4f86-a549-dd843fb00bda
Stonewall Kitchen,,TN,General Merchandise,,,0,yes,177.74,177.74,1abeb751-4f7a-4823-b1d3-25d73b5d78b3
McAlister's Deli,,TN,Restaurants,,,0,yes,176.98,176.98,b888aa8b-224b-433e-92b9-de7e9829946d
the knack,,TN,Restaurants,,,0,yes,176.64,176.64,c0297c7c-6e9a-4ecf-9c82-58fa6fa82bde
Mangos,,FL|TN,Restaurants,,,0,yes,176.28,176.28,8458c167-969a-4e12-8f66-bcbd9527ff22|bd802222-f850-4eb0-9926-fa31f1801b45
Metro Airport Parking,,TN,Parking,,,0,yes,176.00,176.00,a9749efc-2267-40ce-941c-d9a39236ab6a
Nj Prof License Fee,,TN,Government Services,,,0,yes,175.00,175.00,7aa5915b-2686-47ec-ad9b-964c87905738
Tacodeli,,TX,Restaurants,,,0,yes,174.60,174.60,42c99cf5-a180-4ff9-a2a2-0a4f553ae075
Embassy Suites by Hilton,,TN,Lodging,,,0,yes,174.47,174.47,fec78b85-e2d9-4bea-96fc-6e67bedb174b
Pita Pit,,TN,Restaurants,,,0,yes,173.95,173.95,3938be39-c2ab-4fd0-9e5a-01cbbe161cce
7 Acre BarnGrill,,TN,Restaurants,,,0,yes,173.50,173.50,9f7832b4-444f-495e-8685-eed1094a923b
G & M Restaurant,,TN,Restaurants,,,0,yes,172.78,172.78,00ab6287-5964-49c1-b027-46a6df606fbc
Jewell Gas Express,,TN,Fuel and Gas,,,0,yes,171.38,171.38,99ca0c78-a6bc-40ba-9dee-0deaf0b365eb
First Watch,,FL|TX,Restaurants,,,0,yes,171.18,171.18,f4496282-25af-4cb8-be3d-7cc0d9afdc44|e715a0e8-1680-4592-8cbe-79213ea6f1fc
IdentoGO,,FL|TN,Government Services,,,0,yes,171.08,171.08,80808b4a-72b2-4173-a3b3-d0a03001dfbe|671f32dd-0264-4a62-b491-682790d5d9a9
Shipley Do-Nuts,,FL,Restaurants,,,0,yes,170.03,170.03,7d5c3617-23ea-4b44-9b59-44f966d5419f
Amazon Business,,TN|TX,General Merchandise,,,1,yes,168.69,168.69,a9553d14-ff11-49d1-b592-cbd179f1dd64|334d7941-c596-482e-bbd7-3b76ad94d022
Weigel's,,TN,Fuel and Gas,,,0,yes,168.59,168.59,4a2ee123-4ce6-46d7-84f8-3480f41af301
El Molino Mexican Restaurant,,TN,Restaurants,,,0,yes,168.24,168.24,a8901592-1e10-4633-9f17-247a23e7e749
Blue Orchid Thai Cuisine,,FL,Restaurants,,,0,yes,168.15,168.15,580863fc-c61f-4641-876b-b806c222dc95
Rduaa Public Parking,,TN,Parking,,,0,yes,168.00,168.00,2d8ecdca-42b2-475e-bdd5-ca1e4380aee6
Render.com,Render,FL,Cloud Computing,C_CORPORATION,YES,1,yes,165.64,165.64,92465d51-49d6-43f9-ae43-a02177ffdf1c
Cumberland Farms,,FL|TN,Fuel and Gas,,,0,yes,165.57,165.57,0f9f28ef-72f7-46c2-8020-c5fe20a24e16|18fa4584-7f83-4105-8420-c70958fba8a0
Cracker Barrel Old Country Store,,TN|TX,Restaurants,,,0,yes,165.37,165.37,1eaa3eee-f529-4de8-9df3-d9a4b02a21f4|962a006e-baf8-494d-981f-3f848e4eec68
Cheddar's Scratch Kitchen,,FL,Restaurants,,,0,yes,165.19,165.19,443b1789-02c8-431c-8ef4-5270384ba429
Veggie Crust,,TN,Restaurants,,,0,yes,163.59,163.59,ae675e39-f86c-4db2-9b7d-695e3ac0a7f7
Austin Tea Xchange Cafe,,TX,Restaurants,,,0,yes,163.19,163.19,dcbf33fa-657b-421b-9992-95fc7ed1b337
Astor Pharmaceuticals LLC,,TN,Other,,YES,1,yes,162.96,162.96,10d975fb-a109-4ce2-aaba-7e67697a5523
The Cafe at Cottle & Gunn,,FL,Restaurants,,,0,yes,162.41,162.41,58194987-f0b3-47b9-b4ea-f9bd11239fa0
Fuji,,TN,Restaurants,,,0,yes,162.14,162.14,219ed2f9-005a-4010-afea-5871bac851c1
Seasons 52,,TN,Restaurants,,,0,yes,161.20,161.20,5649c663-26c0-4be5-a8c0-89e158f88bff
Discount Signs and Wraps,,FL,Advertising,,,0,yes,160.50,160.50,df0f08bd-9fa5-43c3-ab6c-d8266515183c
